STATEFP10,PUMACE10,AFFGEOID10,GEOID10,NAME10,LSAD10,ALAND10,AWATER10
06,07314,7950000US0607314,0607314,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities,P0,151544412,1567887
06,07306,7950000US0607306,0607306,San Diego County (Northwest)--Escondido City (East),P0,262618578,3451979
06,07311,7950000US0607311,0607311,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa),P0,100844105,109595
06,07313,7950000US0607313,0607313,San Diego County (Central)--El Cajon & Santee Cities,P0,100566678,792540
06,07319,7950000US0607319,0607319,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley",P0,594664908,6267075
06,07307,7950000US0607307,0607307,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona",P0,632559334,8299575
06,07302,7950000US0607302,0607302,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center",P0,6961302632,32781585
06,07312,7950000US0607312,0607312,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights),P0,107613774,95024
06,07320,7950000US0607320,0607320,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East),P0,104357824,4740217
06,07321,7950000US0607321,0607321,San Diego County (Southwest)--Chula Vista (West) & National City Cities,P0,56678635,10641938
06,07304,7950000US0607304,0607304,San Diego County (Northwest)--Carlsbad City,P0,100574464,4777229
06,07303,7950000US0607303,0607303,San Diego County (Northwest)--Vista City,P0,113907108,108123
06,07310,7950000US0607310,0607310,San Diego County (West)--San Diego City (Southwest/Central Coastal),P0,107299607,699365272
06,07305,7950000US0607305,0607305,San Diego County (Northwest)--San Marcos & Escondido (West) Cities,P0,123695713,275324
06,07308,7950000US0607308,0607308,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities,P0,170324500,794951
06,07318,7950000US0607318,0607318,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline),P0,48819779,381866
06,07317,7950000US0607317,0607317,San Diego County (South Central)--San Diego City (Central/Mid-City),P0,40862912,68328
06,07322,7950000US0607322,0607322,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay),P0,116676775,6372324
06,07315,7950000US0607315,0607315,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa),P0,83344393,288866
06,07301,7950000US0607301,0607301,San Diego County (Northwest)--Oceanside City & Camp Pendleton,P0,648007387,14501255
06,07309,7950000US0607309,0607309,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities,P0,229309772,6740060
06,07316,7950000US0607316,0607316,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park),P0,43214240,20136335
